Name,Href,Birthday,Debut,Position,Team
Kent Emanuel,/players/e/emanuke01.shtml,"['June 4', '1992']","['\n    April 24, 2021\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Christian Encarnacion-Strand,/players/e/encarch01.shtml,"['December 1', '1999']","['\n    July 17, 2023\n    ']","['\n    First Baseman, Designated Hitter and Third Baseman\n  \n']",['Cincinnati Reds']
Mason Englert,/players/e/englema01.shtml,"['November 1', '1999']","['\n    March 30, 2023\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Nathan Eovaldi,/players/e/eovalna01.shtml,"['February 13', '1990']","['\n    August 6, 2011\n    ']",['\n    Pitcher\n  \n'],['Texas Rangers']
Lucas Erceg,/players/e/erceglu01.shtml,"['May 1', '1995']","['\n    May 19, 2023\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Edwin Escobar,/players/e/escobed02.shtml,"['April 22', '1992']","['\n    August 27, 2014\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Santiago Espinal,/players/e/espinsa01.shtml,"['November 13', '1994']","['\n    July 25, 2020\n    ']","['\n    Second Baseman, Third Baseman and Shortstop\n  \n']",['Cincinnati Reds']
Paolo Espino,/players/e/espinpa01.shtml,"['January 10', '1987']","['\n    May 19, 2017\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Joey Estes,/players/e/estesjo01.shtml,"['October 8', '2001']","['\n    September 20, 2023\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Carlos Estévez,/players/e/estevca01.shtml,"['December 28', '1992']","['\n    April 23, 2016\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Jeremiah Estrada,/players/e/estraje01.shtml,"['November 1', '1998']","['\n    August 30, 2022\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
Thairo Estrada,/players/e/estrath01.shtml,"['February 22', '1996']","['\n    April 21, 2019\n    ']","['\n    Second Baseman, Shortstop and Leftfielder\n  \n']",['San Francisco Giants']
Phillip Evans,/players/e/evansph01.shtml,"['September 10', '1992']","['\n    September 8, 2017\n    ']","['\n    Pinch Hitter, Outfielder and Third Baseman\n  \n']",['Atlanta Braves']
Alex Faedo,/players/f/faedoal01.shtml,"['November 12', '1995']","['\n    May 4, 2022\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Pete Fairbanks,/players/f/fairbpe01.shtml,"['December 16', '1993']","['\n    June 9, 2019\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Stuart Fairchild,/players/f/faircst01.shtml,"['March 17', '1996']","['\n    July 6, 2021\n    ']",['\n    Outfielder\n  \n'],['Cincinnati Reds']
Bailey Falter,/players/f/falteba01.shtml,"['April 24', '1997']","['\n    April 25, 2021\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
Buck Farmer,/players/f/farmebu01.shtml,"['February 20', '1991']","['\n    August 13, 2014\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Kyle Farmer,/players/f/farmeky01.shtml,"['August 17', '1990']","['\n    July 30, 2017\n    ']","['\n    Shortstop, Third Baseman and Second Baseman\n  \n']",['Minnesota Twins']
Luke Farrell,/players/f/farrelu01.shtml,"['June 7', '1991']","['\n    July 1, 2017\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Calvin Faucher,/players/f/fauchca01.shtml,"['September 22', '1995']","['\n    May 9, 2022\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Erick Fedde,/players/f/feddeer01.shtml,"['February 25', '1993']","['\n    July 30, 2017\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Angel Felipe,/players/f/felipan01.shtml,"['August 30', '1997']","['\n    July 7, 2023\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Ryan Feltner,/players/f/feltnry01.shtml,"['September 2', '1996']","['\n    September 5, 2021\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Caleb Ferguson,/players/f/ferguca01.shtml,"['July 2', '1996']","['\n    June 6, 2018\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Freddy Fermin,/players/f/fermifr01.shtml,"['May 16', '1995']","['\n    July 15, 2022\n    ']",['\n    Catcher\n  \n'],['Kansas City Royals']
José Fermín,/players/f/fermijo01.shtml,"['March 29', '1999']","['\n    July 7, 2023\n    ']",['\n    Second Baseman and Third Baseman\n  \n'],['St. Louis Cardinals']
Ryan Fernandez,/players/f/fernary01.shtml,"['June 11', '1998']",[],['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Jose A. Ferrer,/players/f/ferrejo01.shtml,"['March 3', '2000']","['\n    July 1, 2023\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Matt Festa,/players/f/festama01.shtml,"['March 11', '1993']","['\n    July 14, 2018\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
J.P. Feyereisen,/players/f/feyerjo01.shtml,"['February 7', '1993']","['\n    July 24, 2020\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Kyle Finnegan,/players/f/finneky01.shtml,"['September 4', '1991']","['\n    July 25, 2020\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Jake Fishman,/players/f/fishmja01.shtml,"['February 8', '1995']","['\n    July 31, 2022\n    ']",['\n    Pitcher\n  \n'],[]
Tyler Fitzgerald,/players/f/fitzgty01.shtml,"['September 15', '1997']","['\n    September 21, 2023\n    ']","['\n    Centerfielder, Third Baseman and Shortstop\n  \n']",['San Francisco Giants']
Jack Flaherty,/players/f/flaheja01.shtml,"['October 15', '1995']","['\n    September 1, 2017\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Josh Fleming,/players/f/flemijo01.shtml,"['May 18', '1996']","['\n    August 23, 2020\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
David Fletcher,/players/f/fletcda02.shtml,"['May 31', '1994']","['\n    June 13, 2018\n    ']","['\n    Second Baseman, Shortstop and Third Baseman\n  \n']",['Atlanta Braves']
Dominic Fletcher,/players/f/fletcdo01.shtml,"['September 2', '1997']","['\n    April 30, 2023\n    ']",['\n    Outfielder\n  \n'],['Chicago White Sox']
Chris Flexen,/players/f/flexech01.shtml,"['July 1', '1994']","['\n    July 27, 2017\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Wilmer Flores,/players/f/florewi01.shtml,"['August 6', '1991']","['\n    August 6, 2013\n    ']","['\n    First Baseman, Second Baseman and Third Baseman\n  \n']",['San Francisco Giants']
Estevan Florial,/players/f/flories01.shtml,"['November 25', '1997']","['\n    August 28, 2020\n    ']",['\n    Centerfielder\n  \n'],['Cleveland Guardians']
Dylan Floro,/players/f/florody01.shtml,"['December 27', '1990']","['\n    July 7, 2016\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Jason Foley,/players/f/foleyja01.shtml,"['November 1', '1995']","['\n    June 6, 2021\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Mike Ford,/players/f/fordmi01.shtml,"['July 4', '1992']","['\n    April 18, 2019\n    ']",['\n    First Baseman and Designated Hitter\n  \n'],['Cincinnati Reds']
Nick Fortes,/players/f/forteni01.shtml,"['November 11', '1996']","['\n    September 18, 2021\n    ']",['\n    Catcher\n  \n'],['Miami Marlins']
Justin Foscue,/players/f/foscuju01.shtml,"['March 2', '1999']",[],['\n    Pinch Hitter and Second Baseman\n  \n'],['Texas Rangers']
Matt Foster,/players/f/fostema01.shtml,"['January 27', '1995']","['\n    August 1, 2020\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Jake Fraley,/players/f/fraleja01.shtml,"['May 25', '1995']","['\n    August 21, 2019\n    ']",['\n    Outfielder\n  \n'],['Cincinnati Reds']
J.P. France,/players/f/francjp01.shtml,"['April 4', '1995']","['\n    May 6, 2023\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Ty France,/players/f/francty01.shtml,"['July 13', '1994']","['\n    April 26, 2019\n    ']","['\n    First Baseman, Second Baseman and Third Baseman\n  \n']",['Seattle Mariners']
Bowden Francis,/players/f/francbo01.shtml,"['April 22', '1996']","['\n    April 27, 2022\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Wander Franco,/players/f/francwa01.shtml,"['March 1', '2001']","['\n    June 22, 2021\n    ']",['\n    Shortstop\n  \n'],['Tampa Bay Rays']
Adam Frazier,/players/f/fraziad01.shtml,"['December 14', '1991']","['\n    June 24, 2016\n    ']",['\n    Second Baseman and Outfielder\n  \n'],['Kansas City Royals']
Kyle Freeland,/players/f/freelky01.shtml,"['May 14', '1993']","['\n    April 7, 2017\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Freddie Freeman,/players/f/freemfr01.shtml,"['September 12', '1989']","['\n    September 1, 2010\n    ']",['\n    First Baseman\n  \n'],['Los Angeles Dodgers']
Tyler Freeman,/players/f/freemty01.shtml,"['May 21', '1999']","['\n    August 3, 2022\n    ']","['\n    Third Baseman, Second Baseman and Shortstop\n  \n']",['Cleveland Guardians']
Sal Frelick,/players/f/frelisa01.shtml,"['April 19', '2000']","['\n    July 22, 2023\n    ']",['\n    Outfielder\n  \n'],['Milwaukee Brewers']
Luis Frías,/players/f/friaslu01.shtml,"['May 23', '1998']","['\n    September 19, 2021\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Max Fried,/players/f/friedma01.shtml,"['January 18', '1994']","['\n    August 8, 2017\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
TJ Friedl,/players/f/friedtj01.shtml,"['August 14', '1995']","['\n    September 18, 2021\n    ']",['\n    Centerfielder\n  \n'],['Cincinnati Reds']
David Fry,/players/f/fryda01.shtml,"['November 20', '1995']","['\n    May 1, 2023\n    ']","['\n    Catcher, First Baseman and Pinch Hitter\n  \n']",['Cleveland Guardians']
Paul Fry,/players/f/frypa01.shtml,"['July 26', '1992']","['\n    June 29, 2018\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
Shintaro Fujinami,/players/f/fujinsh01.shtml,"['April 12', '1994']","['\n    April 1, 2023\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Carson Fulmer,/players/f/fulmeca01.shtml,"['December 13', '1993']","['\n    July 17, 2016\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Michael Fulmer,/players/f/fulmemi01.shtml,"['March 15', '1993']","['\n    April 29, 2016\n    ']",['\n    Pitcher\n  \n'],['Boston Red Sox']
Kody Funderburk,/players/f/fundeko01.shtml,"['November 27', '1996']","['\n    August 28, 2023\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Hunter Gaddis,/players/g/gaddihu01.shtml,"['April 9', '1998']","['\n    August 5, 2022\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Matt Gage,/players/g/gagema01.shtml,"['February 11', '1993']","['\n    June 6, 2022\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Giovanny Gallegos,/players/g/gallegi01.shtml,"['August 14', '1991']","['\n    May 12, 2017\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Zac Gallen,/players/g/galleza01.shtml,"['August 3', '1995']","['\n    June 20, 2019\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Joey Gallo,/players/g/gallojo01.shtml,"['November 19', '1993']","['\n    June 2, 2015\n    ']","['\n    Outfielder, First Baseman and Third Baseman\n  \n']",['Washington Nationals']
Ben Gamel,/players/g/gamelbe01.shtml,"['May 17', '1992']","['\n    May 6, 2016\n    ']",['\n    Outfielder\n  \n'],['New York Mets']
Adolis García,/players/g/garciad02.shtml,"['March 2', '1993']","['\n    August 8, 2018\n    ']",['\n    Outfielder\n  \n'],['Texas Rangers']
Aramis Garcia,/players/g/garciar01.shtml,"['January 12', '1993']","['\n    August 31, 2018\n    ']",['\n    Catcher and First Baseman\n  \n'],['Philadelphia Phillies']
Avisaíl García,/players/g/garciav01.shtml,"['June 12', '1991']","['\n    August 31, 2012\n    ']",['\n    Rightfielder\n  \n'],['Miami Marlins']
Deivi García,/players/g/garcide01.shtml,"['May 19', '1999']","['\n    August 30, 2020\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Dérmis García,/players/g/garcide02.shtml,"['January 7', '1998']","['\n    July 12, 2022\n    ']",['\n    First Baseman\n  \n'],['Washington Nationals']
Leury García,/players/g/garcile02.shtml,"['March 18', '1991']","['\n    April 6, 2013\n    ']","['\n    Outfielder, Second Baseman and Shortstop\n  \n']",['Atlanta Braves']
Luis García,/players/g/garcilu03.shtml,"['January 30', '1987']","['\n    July 10, 2013\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Luis Garcia,/players/g/garcilu05.shtml,"['December 13', '1996']","['\n    September 4, 2020\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Luis García Jr.,/players/g/garcilu04.shtml,"['May 16', '2000']","['\n    August 14, 2020\n    ']",['\n    Second Baseman and Shortstop\n  \n'],['Washington Nationals']
Maikel Garcia,/players/g/garcima01.shtml,"['March 3', '2000']","['\n    July 15, 2022\n    ']",['\n    Third Baseman and Shortstop\n  \n'],['Kansas City Royals']
Rico Garcia,/players/g/garciri01.shtml,"['January 10', '1994']","['\n    August 27, 2019\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Robert Garcia,/players/g/garciro04.shtml,"['June 14', '1996']","['\n    July 14, 2023\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Yimi García,/players/g/garciyi01.shtml,"['August 18', '1990']","['\n    September 1, 2014\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Kyle Garlick,/players/g/garliky01.shtml,"['January 26', '1992']","['\n    May 19, 2019\n    ']",['\n    Outfielder and Pinch Hitter\n  \n'],['Arizona Diamondbacks']
Amir Garrett,/players/g/garream01.shtml,"['May 3', '1992']","['\n    April 7, 2017\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Braxton Garrett,/players/g/garrebr01.shtml,"['August 5', '1997']","['\n    September 13, 2020\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Reed Garrett,/players/g/garrere01.shtml,"['January 2', '1993']","['\n    March 29, 2019\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Stone Garrett,/players/g/garrest01.shtml,"['November 22', '1995']","['\n    August 17, 2022\n    ']",['\n    Leftfielder\n  \n'],['Washington Nationals']
Mitch Garver,/players/g/garvemi01.shtml,"['January 15', '1991']","['\n    August 19, 2017\n    ']",['\n    Catcher and Designated Hitter\n  \n'],['Seattle Mariners']
Justin Garza,/players/g/garzaju01.shtml,"['March 20', '1994']","['\n    June 27, 2021\n    ']",['\n    Pitcher\n  \n'],['San Francisco Giants']
Kevin Gausman,/players/g/gausmke01.shtml,"['January 6', '1991']","['\n    May 23, 2013\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Zack Gelof,/players/g/gelofza01.shtml,"['October 19', '1999']","['\n    July 14, 2023\n    ']",['\n    Second Baseman\n  \n'],['Oakland Athletics']
Joey Gerber,/players/g/gerbejo01.shtml,"['May 3', '1997']","['\n    August 4, 2020\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Ian Gibaut,/players/g/gibauia01.shtml,"['November 19', '1993']","['\n    July 12, 2019\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Kyle Gibson,/players/g/gibsoky01.shtml,"['October 23', '1987']","['\n    June 29, 2013\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Luis Gil,/players/g/gillu01.shtml,"['June 3', '1998']","['\n    August 3, 2021\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Logan Gilbert,/players/g/gilbelo01.shtml,"['May 5', '1997']","['\n    May 13, 2021\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Tyler Gilbert,/players/g/gilbety01.shtml,"['December 22', '1993']","['\n    August 3, 2021\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Lucas Gilbreath,/players/g/gilbrlu01.shtml,"['March 5', '1996']","['\n    May 1, 2021\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Ken Giles,/players/g/gileske01.shtml,"['September 20', '1990']","['\n    June 12, 2014\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Logan Gillaspie,/players/g/gillalo01.shtml,"['April 17', '1997']","['\n    May 17, 2022\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
Andrés Giménez,/players/g/gimenan01.shtml,"['September 4', '1998']","['\n    July 24, 2020\n    ']",['\n    Second Baseman and Shortstop\n  \n'],['Cleveland Guardians']
Kevin Ginkel,/players/g/ginkeke01.shtml,"['March 24', '1994']","['\n    August 5, 2019\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Lucas Giolito,/players/g/giolilu01.shtml,"['July 14', '1994']","['\n    June 28, 2016\n    ']",['\n    Pitcher\n  \n'],['Boston Red Sox']
Sawyer Gipson-Long,/players/g/gipsosa01.shtml,"['December 12', '1997']","['\n    September 10, 2023\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Chris Gittens,/players/g/gittech01.shtml,"['February 4', '1994']","['\n    June 5, 2021\n    ']",['\n    First Baseman and Pinch Hitter\n  \n'],['Houston Astros']
Mychal Givens,/players/g/givenmy01.shtml,"['May 13', '1990']","['\n    June 24, 2015\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Tyler Glasnow,/players/g/glasnty01.shtml,"['August 23', '1993']","['\n    July 7, 2016\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
José Godoy,/players/g/godoyjo01.shtml,"['October 13', '1994']","['\n    May 21, 2021\n    ']",['\n    Catcher\n  \n'],['Philadelphia Phillies']
Paul Goldschmidt,/players/g/goldspa01.shtml,"['September 10', '1987']","['\n    August 1, 2011\n    ']",['\n    First Baseman\n  \n'],['St. Louis Cardinals']
Austin Gomber,/players/g/gombeau01.shtml,"['November 23', '1993']","['\n    June 2, 2018\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Yan Gomes,/players/g/gomesya01.shtml,"['July 19', '1987']","['\n    May 17, 2012\n    ']",['\n    Catcher\n  \n'],['Chicago Cubs']
Yoendrys Gómez,/players/g/gomezyo01.shtml,"['October 15', '1999']","['\n    September 28, 2023\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Stephen Gonsalves,/players/g/gonsast01.shtml,"['July 8', '1994']","['\n    August 20, 2018\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Tony Gonsolin,/players/g/gonsoto01.shtml,"['May 14', '1994']","['\n    June 26, 2019\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Marco Gonzales,/players/g/gonzama02.shtml,"['February 16', '1992']","['\n    June 25, 2014\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
Nick Gonzales,/players/g/gonzani01.shtml,"['May 27', '1999']","['\n    June 23, 2023\n    ']",['\n    Second Baseman and Shortstop\n  \n'],['Pittsburgh Pirates']
Erik González,/players/g/gonzaer01.shtml,"['August 31', '1991']","['\n    July 16, 2016\n    ']","['\n    Shortstop, Third Baseman and Second Baseman\n  \n']",['Cincinnati Reds']
Luis González,/players/g/gonzalu03.shtml,"['September 10', '1995']","['\n    August 18, 2020\n    ']",['\n    Rightfielder and Pitcher\n  \n'],['New York Yankees']
Oscar González,/players/g/gonzaos01.shtml,"['January 10', '1998']","['\n    May 26, 2022\n    ']",['\n    Rightfielder\n  \n'],['New York Yankees']
Romy Gonzalez,/players/g/gonzaro01.shtml,"['September 6', '1996']","['\n    September 3, 2021\n    ']","['\n    Second Baseman, Outfielder and Shortstop\n  \n']",['Boston Red Sox']
Victor González,/players/g/gonzavi02.shtml,"['November 16', '1995']","['\n    July 31, 2020\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Hunter Goodman,/players/g/goodmhu01.shtml,"['October 8', '1999']","['\n    August 27, 2023\n    ']",['\n    Rightfielder and First Baseman\n  \n'],['Colorado Rockies']
Niko Goodrum,/players/g/goodrni01.shtml,"['February 28', '1992']","['\n    September 2, 2017\n    ']","['\n    Shortstop, Second Baseman and Outfielder\n  \n']",['Tampa Bay Rays']
Nick Gordon,/players/g/gordoni01.shtml,"['October 24', '1995']","['\n    May 6, 2021\n    ']","['\n    Outfielder, Second Baseman and Shortstop\n  \n']",['Miami Marlins']
MacKenzie Gore,/players/g/gorema01.shtml,"['February 24', '1999']","['\n    April 15, 2022\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Nolan Gorman,/players/g/gormano01.shtml,"['May 10', '2000']","['\n    May 20, 2022\n    ']",['\n    Second Baseman and Third Baseman\n  \n'],['St. Louis Cardinals']
Anthony Gose,/players/g/gosean01.shtml,"['August 10', '1990']","['\n    July 17, 2012\n    ']",['\n    Centerfielder and Pitcher\n  \n'],['Cleveland Guardians']
Trevor Gott,/players/g/gotttr01.shtml,"['August 26', '1992']","['\n    June 14, 2015\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Yasmani Grandal,/players/g/grandya01.shtml,"['November 8', '1988']","['\n    June 2, 2012\n    ']",['\n    Catcher and First Baseman\n  \n'],['Pittsburgh Pirates']
Brusdar Graterol,/players/g/gratebr01.shtml,"['August 26', '1998']","['\n    September 1, 2019\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Kendall Graveman,/players/g/graveke01.shtml,"['December 21', '1990']","['\n    September 5, 2014\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Jon Gray,/players/g/grayjo02.shtml,"['November 5', '1991']","['\n    August 4, 2015\n    ']",['\n    Pitcher\n  \n'],['Texas Rangers']
Josiah Gray,/players/g/grayjo03.shtml,"['December 21', '1997']","['\n    July 20, 2021\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Sonny Gray,/players/g/grayso01.shtml,"['November 7', '1989']","['\n    July 10, 2013\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Tristan Gray,/players/g/graytr01.shtml,"['March 22', '1996']","['\n    September 16, 2023\n    ']",['\n    First Baseman and Shortstop\n  \n'],['Miami Marlins']
Chad Green,/players/g/greench03.shtml,"['May 24', '1991']","['\n    May 16, 2016\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Conner Greene,/players/g/greenco01.shtml,"['April 4', '1995']","['\n    July 27, 2021\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Hunter Greene,/players/g/greenhu01.shtml,"['August 6', '1999']","['\n    April 10, 2022\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Riley Greene,/players/g/greenri03.shtml,"['September 28', '2000']","['\n    June 18, 2022\n    ']",['\n    Centerfielder\n  \n'],['Detroit Tigers']
Shane Greene,/players/g/greensh02.shtml,"['November 17', '1988']","['\n    April 24, 2014\n    ']",['\n    Pitcher\n  \n'],"['Texas Rangers', 'Shaner or  Team Jake']"
Randal Grichuk,/players/g/grichra01.shtml,"['August 13', '1991']","['\n    April 28, 2014\n    ']",['\n    Outfielder\n  \n'],['Arizona Diamondbacks']
Trent Grisham,/players/g/grishtr01.shtml,"['November 1', '1996']","['\n    August 1, 2019\n    ']",['\n    Centerfielder\n  \n'],['New York Yankees']
Vaughn Grissom,/players/g/grissva01.shtml,"['January 5', '2001']","['\n    August 10, 2022\n    ']",['\n    Second Baseman and Shortstop\n  \n'],['Boston Red Sox']
Jordan Groshans,/players/g/groshjo01.shtml,"['November 10', '1999']","['\n    September 13, 2022\n    ']",['\n    Third Baseman\n  \n'],['New York Yankees']
Robbie Grossman,/players/g/grossro01.shtml,"['September 16', '1989']","['\n    April 24, 2013\n    ']",['\n    Outfielder\n  \n'],['Chicago White Sox']
Michael Grove,/players/g/grovemi01.shtml,"['December 18', '1996']","['\n    May 15, 2022\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Robert Gsellman,/players/g/gsellro01.shtml,"['July 18', '1993']","['\n    August 23, 2016\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Sean Guenther,/players/g/guentse01.shtml,"['December 29', '1995']","['\n    August 4, 2021\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Tayron Guerrero,/players/g/guerrta01.shtml,"['January 9', '1991']","['\n    May 17, 2016\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Vladimir Guerrero Jr.,/players/g/guerrvl02.shtml,"['March 16', '1999']","['\n    April 26, 2019\n    ']",['\n    First Baseman and Third Baseman\n  \n'],['Toronto Blue Jays']
Luis Guillorme,/players/g/guilllu01.shtml,"['September 27', '1994']","['\n    May 11, 2018\n    ']","['\n    Second Baseman, Third Baseman and Shortstop\n  \n']",['Atlanta Braves']
Lourdes Gurriel Jr.,/players/g/gurrilo01.shtml,"['October 10', '1993']","['\n    April 20, 2018\n    ']","['\n    Leftfielder, Shortstop and Second Baseman\n  \n']",['Arizona Diamondbacks']
Dalton Guthrie,/players/g/guthrda01.shtml,"['December 23', '1995']","['\n    September 6, 2022\n    ']",['\n    Outfielder and Third Baseman\n  \n'],['Boston Red Sox']
Vladimir Gutierrez,/players/g/gutievl01.shtml,"['September 18', '1995']","['\n    May 28, 2021\n    ']",['\n    Pitcher\n  \n'],['Milwaukee Brewers']
Ronald Guzmán,/players/g/guzmaro01.shtml,"['October 20', '1994']","['\n    April 13, 2018\n    ']",['\n    First Baseman\n  \n'],[]
Eric Haase,/players/h/haaseer01.shtml,"['December 18', '1992']","['\n    September 2, 2018\n    ']",['\n    Catcher and Leftfielder\n  \n'],['Milwaukee Brewers']
Josh Hader,/players/h/haderjo01.shtml,"['April 7', '1994']","['\n    June 10, 2017\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Sam Haggerty,/players/h/haggesa01.shtml,"['May 26', '1994']","['\n    September 4, 2019\n    ']",['\n    Outfielder and Second Baseman\n  \n'],['Seattle Mariners']
Jesse Hahn,/players/h/hahnje01.shtml,"['July 30', '1989']","['\n    June 3, 2014\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Darick Hall,/players/h/hallda02.shtml,"['July 25', '1995']","['\n    June 29, 2022\n    ']",['\n    Designated Hitter and First Baseman\n  \n'],['Philadelphia Phillies']
DL Hall,/players/h/halldl01.shtml,"['September 19', '1998']","['\n    August 13, 2022\n    ']",['\n    Pitcher\n  \n'],['Milwaukee Brewers']
Caleb Hamilton,/players/h/hamilca01.shtml,"['February 5', '1995']","['\n    July 17, 2022\n    ']",['\n    Catcher and First Baseman\n  \n'],['Los Angeles Angels']
David Hamilton,/players/h/hamilda03.shtml,"['September 29', '1997']","['\n    June 21, 2023\n    ']",['\n    Shortstop and Second Baseman\n  \n'],['Boston Red Sox']
Ian Hamilton,/players/h/hamilia01.shtml,"['June 16', '1995']","['\n    August 31, 2018\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Garrett Hampson,/players/h/hampsga01.shtml,"['October 10', '1994']","['\n    July 21, 2018\n    ']","['\n    Centerfielder, Second Baseman and Shortstop\n  \n']",['Kansas City Royals']
Emerson Hancock,/players/h/hancoem01.shtml,"['May 31', '1999']","['\n    August 9, 2023\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Brenan Hanifee,/players/h/hanifbr01.shtml,"['May 29', '1998']","['\n    September 21, 2023\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Mitch Haniger,/players/h/hanigmi01.shtml,"['December 23', '1990']","['\n    August 16, 2016\n    ']",['\n    Rightfielder\n  \n'],['Seattle Mariners']
Ian Happ,/players/h/happia01.shtml,"['August 12', '1994']","['\n    May 13, 2017\n    ']","['\n    Leftfielder, Second Baseman and Third Baseman\n  \n']",['Chicago Cubs']
